SYMBOL,UNIPROT
A1BG,P04217
A2M,P01023
ABCF1,Q8NE71
ACAA2,P42765
ACTA1,P68133
ACTBL2,Q562R1
ADIPOQ,Q15848
AFG3L2,Q9Y4W6
AFM,P43652
AGT,P01019
AHSG,P02765
ALB,P02768
AMBP,P02760
APCS,P02743
APOA1,P02647
APOA2,P02652
APOA4,P06727
APOB,P04114
APOC1,P02654
APOC2,P02655
APOC3,P02656
APOC4,P55056
APOD,P05090
APOE,P02649
APOF,Q13790
APOH,P02749
APOL1,O14791
APOM,O95445
ARHGAP19,Q14CB8
ASS1,P00966
ATP11B,Q9Y2G3
ATP5A1,P25705
ATRN,O75882
ATRN.1,Q5VV63
AZGP1,P25311
B2M,P61769
BCHE,P06276
BTD,P43251
C1QA,P02745
C1QB,P02746
C1QC,P02747
C1R,P00736
C1RL,Q9NZP8
C1S,P09871
C2,P06681
C3,P01024
C4A,P0C0L4
C4B,P0C0L5
C4BPA,P04003
C4BPB,P20851
C5,P01031
C6,P13671
C7,P10643
C8A,P07357
C8B,P07358
C8G,P07360
C9,P02748
CA1,P00915
CAMP,P49913
CAPZB,P47756
CD14,P08571
CD5L,O43866
CDHR5,Q9HBB8
CDK5RAP2,Q96SN8
CEP290,O15078
CETP,P11597
CFB,P00751
CFD,P00746
CFH,P08603
CFHR1,Q03591
CFHR2,P36980
CFHR4,Q92496
CFHR5,Q9BXR6
CFI,P05156
CFP,P27918
CLEC3B,P05452
CLU,P10909
CLU.1,Q8WXS5
CNDP1,Q96KN2
COL6A3,P12111
COLEC11,Q9BWP8
COMP,P49747
CP,P00450
CPB2,Q96IY4
CPN1,P15169
CPN2,P22792
CRISP3,P54108
CST3,P01034
CTTNBP2,Q8WZ74
DBH,P09172
DSP,P15924
DYNC1H1,Q14204
ECM1,Q16610
EFEMP1,Q12805
ENO1,P06733
F10,P00742
F11,P03951
F12,P00748
F13A1,P00488
F13B,P05160
F2,P00734
F5,P12259
F7,P08709
F9,P00740
FAM161B,Q96MY7
FAM3C,Q92520
FBLN1,P23142
FBLN1.1,P23142
FCGBP,Q9Y6R7
FCN2,Q15485
FCN3,O75636
FERMT3,Q86UX7
FETUB,Q9UGM5
FGA,P02671
FGB,P02675
FGG,P02679
FLNA,P21333
FN1,P02751
FRMPD1,Q5SYB0
GAPDH,P04406
GC,P02774
GP1BA,P07359
GP5,P40197
GPLD1,P80108
GPR116,Q8IZF2
GPX3,P22352
GSN,P06396
HABP2,Q14520
HBA1,P69905
HBB,P68871
HBD,P02042
HGFAC,Q04756
HNRNPM,P52272
HP,P00738
HPR,P00739
HPX,P02790
HRG,P04196
HV102,P23083
HV146,P01743
HV169,P01742
HV270,P01814
HV307,P01780
HV307_2,P01780
HV313,P01766
HV323,P01764
HV330,P01768
HV330_2,P01768
HV333,P01772
HV333_2,P01772
HV348,P01763
HV353,P01767
HV434,P06331
HV439,P01824
IGF2,P01344
IGF2R,P11717
IGFALS,P35858
IGFBP3,P17936
IGHA1,P01876
IGHA2,P01877
IGHD,P01880
IGHG1,P01857
IGHG2,P01859
IGHG3,P01860
IGHG4,P01861
IGHM,P01871
IGHM.1,P01871
IGJ,P01591
IGKC,P01834
IGLC2,P0DOY2
IGLL5,B9A064
IL1RAP,Q9NPH3
IL1RAP.1,Q9NPH3
ILK,Q13418
INHBC,P55103
INPP5E,Q9NRR6
ITIH1,P19827
ITIH2,P19823
ITIH3,Q06033
ITIH4,Q14624
KLKB1,P03952
KNG1,P01042
KNG1_2,P01042
KRT17,Q04695
KV116,P04430
KV133,P01594
KV139,P01597
KV230,P06310
KV310,NA
KV311,P04433
KV315,P01624
KV320,P01619
KV320_2,P01619
KV320.1,P01619
KV320.2,P01619
KVD16,P01601
KVD28,P01615
KVD33,P01593
KVD33_2,P01593
KVD33_3,P01593
KVD33_4,P01593
LBP,P18428
LCAT,P04180
LCP1,P13796
LDHB,P07195
LGALS3BP,Q08380
LPA,Q92633
LRG1,P02750
LUM,P51884
LV140,P01703
LV144,P01699
LV147,P01700
LV151,P01701
LV211,P01706
LV319,P01714
LV321,P80748
LV321.1,P80748
LV325,P01717
LV657,P01721
LV657_2,P01721
LV743,P04211
LYVE1,Q9Y5Y7
LYZ,P61626
MAN2B2,Q9Y2E5
MAP4,P27816
MASP1,P48740
MASP2,O00187
MBL2,P11226
MCAM,P43121
MGP,P08493
MMRN1,Q13201
MSN,P26038
MST1,P26927
MTHFD1,P11586
MYBPC2,Q14324
MYH7,P12883
MYH9,P35579
NCAM1,P13591
NPHP3,Q7Z494
NUP205,Q92621
OLFM1,Q99784
ORM1,P02763
ORM2,P19652
PCOLCE,Q15113
PCYOX1,Q9UHG3
PF4,P02776
PFN1,P07737
PGLYRP2,Q96PD5
PI16,Q6UXB8
PIGR,P01833
PLG,P00747
PLTP,P55058
PON1,P27169
PON3,Q15166
PPBP,P02775
PRDX2,P32119
PRG4,Q92954
PRG4.1,Q92954
PROC,P04070
PROS1,P07225
PROZ,P22891
PSTK,Q8IV42
PTPRC,P08575
PZP,P20742
RBP4,P02753
RYR2,Q92736
SAA1,P0DJI8
SAA2,P0DJI9
SAA4,P35542
SCLT1,Q96NL6
SCP2,P22307
SELL,P14151
SEPP1,P49908
SERPINA1,P01009
SERPINA10,Q9UK55
SERPINA3,P01011
SERPINA4,P29622
SERPINA5,P05154
SERPINA6,P08185
SERPINA7,P05543
SERPINC1,P01008
SERPIND1,P05546
SERPINF1,P36955
SERPINF2,P08697
SERPING1,P05155
SH3GL3,Q99963
SHBG,P04278
SLFN11,Q7Z7L1
TAGLN2,P37802
TF,P02787
TFRC,P02786
TGFBI,Q15582
THBS1,P07996
TLN1,Q9Y490
TPM4,P67936
TTN,Q8WZ42
TTR,P02766
TYMP,P19971
VASN,Q6EMK4
VCL,P18206
VTN,P04004
VWF,P04275
ZNF10,P21506